Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Estonia,EST,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03671805,0.16351806,0.482447822,0.938912732,2.113680061,4.895307337,10.27659872,17.76449317,28.04425049,40.63471868,47.78316773,64.93965993,77.68313294,93.12410036,107.3888236,123.4116893,125.2425955,121.034985,117.0620194,123.23911,138.983109,
Trinidad and Tobago,TTO,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034797298,0.103505321,0.135012343,0.207422187,0.503629573,0.751388461,1.343828893,2.052995327,3.004108415,12.52730141,19.74660784,20.18875579,25.75308273,49.68549284,70.25314242,115.0241817,113.8894085,135.6923909,138.163384,141.2068149,135.5665317,
Argentina,ARG,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007145704,0.036761955,0.075543355,0.13890867,0.329585912,0.700640714,1.163084605,1.890265151,5.625303077,7.391416802,10.53300661,17.56789993,18.07348141,17.43814088,20.63677588,35.24285031,57.27961101,80.74649221,102.6257449,117.1083875,131.0023571,132.880086,134.9211144,
Germany,DEU,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.001390232,0.030597773,0.062516414,0.12619829,0.20806771,0.344646737,0.668221323,1.210580299,2.192590036,3.056008432,4.546595161,6.705568942,10.05271493,16.89486472,28.47408316,58.53378207,68.12709457,71.72940284,78.56058484,86.42540783,96.03863615,103.7751488,116.6229321,127.9450964,127.4188883,127.0435825,132.2987788,
United Kingdom,GBR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.0884691,0.229588861,0.510980279,0.984146784,1.708782368,1.94705976,2.19628403,2.619709649,3.931927108,6.812060237,9.889760214,12.46345423,15.15978449,25.43768531,46.33431958,73.80492857,78.31683329,82.95925861,91.02728866,99.65959774,108.7519922,115.7583013,121.2494869,125.2408107,130.1742603,130.7564225,130.7519369,
Switzerland,CHE,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.083833823,0.468234886,1.099060506,1.873717548,2.589826507,3.155839119,3.739559611,4.771643739,6.371078299,9.385589473,14.72930688,23.87990184,42.84181573,64.71231216,73.19368084,79.06716426,84.69869899,85.2406751,92.16758663,99.56894093,109.1372821,117.4761171,122.3241293,125.8319005,130.0623629,
Chile,CHL,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037712001,0.105559516,0.269082973,0.47109404,0.611555854,0.816168591,1.369340714,2.18357627,2.761044143,6.411580645,14.84212678,22.0594339,32.68852617,39.56103371,45.54119844,57.40927978,64.83713442,75.60292184,83.89941018,88.09806834,97.01862561,116.0021265,129.7080782,
Poland,POL,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005738905,0.040972131,0.101505192,0.195354328,0.564859313,2.115703836,5.025337261,10.32057374,17.61506394,26.14448657,36.35440837,45.55514218,60.50028534,76.4217488,96.26705873,108.376622,114.9349364,117.1438859,122.6651202,128.4630552,
Bahrain,BHR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.143439056,0.383734327,0.624426635,0.889339847,1.044247105,1.451394851,1.863204643,2.13388634,3.230343517,4.936778823,6.971477473,9.872577093,15.06175182,21.29474364,32.23585969,46.62760113,60.58373698,68.46935244,96.72561629,105.8354845,111.8340913,120.55085,136.9097428,119.8700728,124.1842238,127.9641264,
Malaysia,MYS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0.066688578,0.104246592,0.15873194,0.222645346,0.475710273,0.694898281,1.04442872,1.72588935,2.829534176,4.850515014,7.15542289,9.182104501,9.855549893,13.07521203,21.87387532,30.81626035,36.92792463,44.38913936,57.09551136,74.88436601,73.20962871,86.30689233,100.7671876,107.8520662,119.2175618,127.0351203,
Barbados,BRB,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186671071,0.304822008,0.59568131,1.129696121,1.751602029,2.377789636,3.022769797,4.512279039,7.613267456,10.64143157,19.80334984,36.15636149,51.96945681,74.13973854,76.22466294,87.47777261,94.83760281,106.0555515,123.5787351,128.0721909,127.0117733,
